knvj 圣
skvj 圣
dcvj 对
bmvk 弁
thvg 台
mhvx 矛
jfbx 纠
ycbv 驭
mgby 母
yabc 幼
slbz 丝
krmh 匡
lghj 耒
bshx 邦
dshj 玎
jfht 玑
simj 式
yoph 迂
xshs 刑
xshx 邢
rimk 戎
ddhc 动
xcjh 圩
wajh 圩
wcjh 圬
gnjj 圭
ksjj 扛
gsjj 扛
sljj 寺
jljg 吉
kajg 扣
qvjq 扦
gdjq 圪
yfjq 圪
kujm 考
tcjq 托
zdjw 圳
lujt 老
jfjt 圾
gdjt 巩
zfjt 执
kcjy 扩
kvjy 圹
mdju 扪
sajz 扫
yfjz 圯
pfjz 圮
dfjx 地
ddjx 地
ysjc 扬
csjc 场
egja 耳
ynjh 芋
dnjj 芏
gkjr 共
qmjq 芊
shjt 芍
jljt 芨
wjjt 芄
mjjy 芒
ygjf 亚
zljp 芝
xmjz 芎
qljz 芑
xmjb 芗
xfjm 朽
pcjf 朴
psjf 朴
pvjf 朴
jfjt 机
qvjv 权
gopj 过
ggjz 亘
cgjz 臣
lpzg 吏
zhzg 再
xfjc 协
xgjc 西
yukj 压
yukk 厌
sukm 厍
xwkz 戌
zukj 在
bhzw 百
yukt 有
cukx 存
egkg 而
ygkg 页
jrme 匠
knkh 夸
dnkj 夺
kmkw 夼
huki 灰
dopk 达
sgkp 戍
lokt 尥
lfks 列
sukt 死
cgkb 成
jglq 夹
gglq 夹
ypkz 夷
gcmt 轨
xfmx 邪
ydmx 邪
yhmk 尧
hcms 划
mopm 迈
blmj 毕
zlmj 至
cfat 此
jfab 乩
zkag 贞
sfdj 师
ckdj 尘
jmdk 尖
lldc 劣
gmfk 光
djfz 当
xcgh 吁
ycgh 吁
zhgj 早
tcgj 吐
xfgj 吓
hdgj 吓
lhgt 旯
yggh 曳
cggj 虫
qggj 曲
tqgj 团
twgg 同
lmgg 吕
dmgg 吊
cfgq 吃
yqgk 因
xfgt 吸
magb 吗
yagb 吆
ycgm 屿
yfgq 屹
jlgt 岌
fsgt 帆
sngt 岁
hqgg 回
khgz 岂
qlgz 岂
qfgz 屺
zdgs 则
gsgs 刚
